80 m
10.44;5h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.45;2qf2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.46;2r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting;Limite erfüllt
10.56;3A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.67;4h7;None;07.09.2019;Düdingen;SM U16/U18; 
10.67;4sf3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
10.73;1h1;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.73;1r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
10.73;2h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.73;4r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
10.74;3A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.82;3h6;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
10.97;6A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.08;4h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
Weit
4.56;18;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
